Generation,Stage,Prey_Fitness,Predator_Fitness,Avg_Prey_Energy,Prey_Starved,Prey_Eaten,Avg_Food_Collected,Avg_Predator_Energy,Pred_Starved,Resource_Depletion_Events,Resource_Depleted_Ticks
1,1,1591.899579121369,33.333333333333336,21.032333333330886,11.0,0.0,80.0,100.0,0.0,3.0,1000.0
2,1,1792.4230258121631,33.333333333333336,23.03733333333038,8.0,0.0,106.66666666666667,100.0,0.0,4.0,1382.5
3,1,1801.206533590686,33.333333333333336,20.118999999996912,7.5,0.0,97.56666666666666,100.0,0.0,3.5,1226.5
4,1,1736.9368993113274,33.333333333333336,16.738999999997034,8.0,0.0,85.9,100.0,0.0,3.0,1132.5
5,1,1924.6390945086691,33.333333333333336,22.733333333329668,5.5,0.0,106.66666666666667,100.0,0.0,4.0,1295.0
6,1,2037.0740200166927,33.333333333333336,19.705333333329662,3.0,0.0,106.66666666666667,100.0,0.0,4.0,1354.5
7,1,1966.2314073689856,33.333333333333336,20.129999999996414,4.5,0.0,101.80000000000001,100.0,0.0,3.5,1232.0
8,1,1933.6157769303054,33.333333333333336,18.71766666666298,5.0,0.0,96.03333333333333,100.0,0.0,3.5,1258.0
9,1,2016.9256264759633,33.333333333333336,20.523333333329624,3.5,0.0,106.66666666666667,100.0,0.0,4.0,1281.0
10,1,1980.084036444859,33.333333333333336,20.96899999999643,4.0,0.0,104.7,100.0,0.0,3.5,1231.0
11,1,2034.8567589520396,33.333333333333336,19.939333333329653,3.0,0.0,106.66666666666667,100.0,0.0,4.0,1317.0
12,1,2057.47398470103,33.333333333333336,19.12333333332962,2.5,0.0,106.66666666666667,100.0,0.0,4.0,1374.0
13,1,1988.3238725305293,33.333333333333336,17.900333333329648,4.5,0.0,99.96666666666667,100.0,0.0,3.5,1345.0
14,1,1911.8598203704582,33.333333333333336,20.400333333330067,6.0,0.0,100.93333333333334,100.0,0.0,3.0,1200.0
15,1,1909.0735695115668,33.333333333333336,20.37333333333025,6.5,0.0,106.66666666666667,100.0,0.0,4.0,1318.5
16,1,2008.747944123362,33.333333333333336,20.79333333332972,3.5,0.0,106.66666666666667,100.0,0.0,4.0,1314.0
17,1,2040.6954388165204,33.333333333333336,19.460333333329807,2.5,0.0,105.56666666666666,100.0,0.0,3.5,1231.5
18,1,1986.0904456122937,33.333333333333336,20.969333333329665,4.5,0.0,106.66666666666667,100.0,0.0,4.0,1300.0
19,1,2001.33221887075,33.333333333333336,21.353333333329488,3.5,0.0,106.66666666666667,100.0,0.0,4.0,1406.5
20,1,1954.2688140684288,33.333333333333336,17.48033333332969,4.5,0.0,93.96666666666667,100.0,0.0,3.5,1229.0
21,2,-136.8385707902854,359.4551832272653,21.061333333329532,5.0,14.100000000000001,106.66666666666667,242.0619999999997,0.0,4.0,1409.0
22,2,-487.4842107058919,403.1256929376344,13.875333333329852,5.0,16.266666666666666,86.06666666666666,246.26499999999984,0.0,3.0,1200.0
23,2,-76.51090662440201,359.8956795525089,19.743333333329655,3.0,14.1,106.66666666666667,244.1049999999998,0.0,4.0,1336.0
24,2,-78.21387519618794,356.4452271226089,16.929666666663106,3.5,13.966666666666667,97.03333333333333,244.87199999999973,0.0,3.0,1200.0
25,2,636.1419061057263,265.7809413766919,19.54333333332969,2.5,9.433333333333334,106.66666666666667,240.60399999999964,0.0,4.0,1308.5
26,2,722.9175610230068,231.61790597168863,15.010666666663095,6.5,7.766666666666666,84.93333333333334,238.33599999999956,0.0,3.0,1200.0
