Generation,Stage,Prey_Fitness,Predator_Fitness,Avg_Prey_Energy,Prey_Starved,Prey_Eaten,Avg_Food_Collected,Avg_Predator_Energy,Pred_Starved,Resource_Depletion_Events,Resource_Depleted_Ticks
1,1,1721.5272487201344,33.333333333333336,29.423666666664108,10.0,0.0,163.33333333333331,100.0,0.0,3.5,899.0
2,1,1842.5896055473643,33.333333333333336,34.9846666666636,8.0,0.0,183.1,100.0,0.0,3.5,1050.0
3,1,1814.8530086283654,33.333333333333336,34.78233333333071,9.0,0.0,178.8,100.0,0.0,3.5,971.0
4,1,1715.8266086843832,33.333333333333336,25.10033333333034,9.5,0.0,116.5,100.0,0.0,2.0,600.0
5,1,1851.815032272308,33.333333333333336,35.95633333333023,7.5,0.0,155.6,100.0,0.0,3.0,879.5
6,1,1870.021420182903,33.333333333333336,28.577666666663674,7.5,0.0,156.7,100.0,0.0,3.0,900.0
7,1,2025.4519306804812,33.333333333333336,38.00033333332968,4.5,0.0,182.96666666666667,100.0,0.0,3.5,1042.0
8,1,1915.4487885909678,33.333333333333336,35.616666666663114,6.5,0.0,165.66666666666666,100.0,0.0,3.5,939.0
9,1,1952.751865208907,33.333333333333336,33.89266666666333,6.5,0.0,177.3,100.0,0.0,3.5,953.0
10,1,2088.530008627535,33.333333333333336,42.418999999996245,4.5,0.0,194.46666666666667,100.0,0.0,4.0,1200.0
11,1,1982.4396548232262,33.333333333333336,40.23866666666238,5.0,0.0,155.93333333333334,100.0,0.0,3.0,857.0
12,1,2053.697951952789,33.333333333333336,34.06899999999648,3.0,0.0,162.06666666666666,100.0,0.0,3.0,775.0
13,1,2060.625202453051,33.333333333333336,44.61333333332939,4.0,0.0,186.66666666666666,100.0,0.0,4.0,1016.5
14,1,1959.7934546518338,33.333333333333336,37.38133333333031,6.5,0.0,174.36666666666667,100.0,0.0,3.5,905.0
15,1,1891.2915613768369,33.333333333333336,31.8593333333301,7.5,0.0,163.33333333333331,100.0,0.0,3.5,944.0
16,1,1978.9047203963337,33.333333333333336,37.37933333332978,5.5,0.0,179.16666666666666,100.0,0.0,3.5,1014.5
17,1,2040.6420067659867,33.333333333333336,36.608333333329746,4.0,0.0,173.6,100.0,0.0,3.5,1000.0
18,1,2097.287466733105,33.333333333333336,41.261999999996235,3.5,0.0,182.03333333333333,100.0,0.0,3.5,930.0
19,1,2021.4341873741166,33.333333333333336,31.027999999996247,4.5,0.0,144.93333333333334,100.0,0.0,3.0,850.5
20,1,2108.455708689555,33.333333333333336,41.036999999996986,3.5,0.0,209.46666666666667,100.0,0.0,4.0,1149.5
21,2,1342.9001375578068,141.1950532511518,36.017666666662876,5.0,4.4,148.9,165.1489999999959,0.0,2.5,750.0
22,2,1452.853207518017,150.97817978404572,41.344999999995686,2.5,4.5,175.39999999999998,185.57899999999444,0.0,3.5,1045.5
23,2,1306.2265994071697,157.52591970611624,35.20433333332906,4.0,4.8,148.6,186.68599999999617,0.0,2.5,750.0
24,2,1483.1953576421176,155.2727796097894,46.0593333333285,1.0,4.666666666666666,186.66666666666666,187.99199999999416,0.0,4.0,972.0
25,2,1412.7031122386243,145.74703261942452,40.62599999999577,3.5,4.366666666666667,164.76666666666665,177.29199999999372,0.0,3.5,932.0
26,2,1359.3891953448085,156.92100706598745,45.33833333332868,3.0,4.866666666666667,177.16666666666669,180.8879999999958,0.0,3.0,900.0
27,2,1329.3488134543375,148.77940813864709,32.98599999999581,4.0,4.533333333333333,140.0,176.43999999999568,0.0,3.0,843.0
28,2,1393.0790875840237,154.57129336710256,35.781999999995676,2.5,4.7,154.4,183.72299999999512,0.0,3.0,892.0
29,2,1479.1827518474076,138.66880264393748,41.432333333329055,2.0,4.333333333333334,174.76666666666665,158.0439999999956,0.0,3.5,920.0
30,2,1406.8644438311171,156.33022495924988,39.75966666666222,1.5,4.833333333333334,165.83333333333331,181.00499999999573,0.0,3.5,928.5
31,2,1312.0811370695992,173.0766818398371,39.246666666662435,2.5,5.2,162.86666666666667,210.03799999999617,0.0,3.0,772.5
32,2,1472.9122280986073,138.79749355372007,38.64899999999563,2.0,4.366666666666666,167.13333333333333,156.9459999999939,0.0,3.5,995.0
33,2,1399.1275513878356,134.13547858862435,37.1543333333295,3.5,4.300000000000001,153.89999999999998,147.79499999999462,0.0,3.0,900.0
34,2,1364.2973522321508,146.43442585623376,31.71233333332922,3.5,4.466666666666667,140.0,173.90799999999496,0.0,3.0,807.0
35,2,1393.2579108333216,151.31846463690528,30.623999999995924,2.0,4.6,140.0,181.20599999999493,0.0,3.0,855.0
36,2,1386.4524139699347,142.83887446316692,40.98466666666245,4.0,4.333333333333334,165.39999999999998,171.06799999999436,0.0,3.5,1021.0
37,2,1476.2579062223979,132.45774877831863,40.01333333332918,3.0,4.0,164.26666666666665,159.9559999999941,0.0,3.0,900.0
38,2,1522.0678855599622,126.72191820257223,40.31566666666259,2.0,3.9333333333333336,176.43333333333334,156.4479999999948,0.5,3.0,900.0
39,2,1470.556593815914,112.12915718003005,40.206999999995666,4.5,3.7333333333333334,161.1,134.68499999999435,1.0,3.0,886.5
40,2,1557.732207289571,103.47019618378073,39.27299999999566,3.0,3.3666666666666667,163.33333333333331,120.56799999999413,0.5,3.5,854.5
41,2,1284.1736974583494,152.2354545827442,37.08299999999619,4.5,4.833333333333334,153.23333333333335,168.66899999999572,0.0,3.0,862.5
42,2,1316.8142718246474,151.29949813000988,40.382999999995874,4.5,4.733333333333333,164.06666666666666,172.08699999999584,0.0,3.5,923.0
43,2,1334.154470803842,155.46002476532112,35.042999999996105,3.5,4.9,157.73333333333335,174.44299999999453,0.0,3.0,900.0
44,2,1282.777362601438,161.63503307239006,38.488999999995855,4.0,4.866666666666667,156.73333333333335,195.31499999999457,0.0,3.0,860.0
45,2,1337.1489182745133,151.88712146208348,32.41166666666244,3.5,4.633333333333333,142.53333333333333,180.03299999999606,0.0,3.0,896.5
46,2,1415.5593962806415,143.20617377234507,41.40599999999585,2.5,4.533333333333333,173.46666666666667,160.0689999999945,0.0,3.5,1049.5
47,2,1363.753044936207,152.23255734562557,44.48733333332909,2.5,4.9,179.46666666666667,178.09099999999702,0.5,3.5,1009.0
48,2,1242.6182968457083,162.66159486935132,34.64799999999603,4.5,4.9,146.43333333333334,199.09699999999566,0.0,2.5,750.0
49,2,1272.6166155676858,182.06231819348235,46.34599999999607,3.0,5.533333333333333,186.66666666666666,218.80699999999572,0.0,4.0,988.0
50,2,1132.646834158724,187.07425296659068,40.4483333333294,3.5,6.1,167.76666666666665,200.08399999999716,0.0,3.0,900.0
51,2,1312.6100178225174,175.36211714986058,43.32566666666263,1.5,5.566666666666666,182.16666666666666,196.53999999999763,0.0,3.5,973.0
52,2,1125.883057675175,184.38265749272156,34.41099999999602,4.5,5.766666666666667,144.26666666666665,212.4879999999979,0.0,3.0,875.5
53,2,1251.3625326214606,186.0218237001117,37.8576666666623,1.5,5.866666666666667,163.16666666666669,210.5739999999978,0.0,3.0,900.0
54,2,1323.9998703031513,159.00903981483935,39.88333333332928,3.0,5.0,166.26666666666665,184.26299999999628,0.0,3.5,989.5
55,2,1119.9230705962689,197.61448853245156,43.50233333332926,3.0,6.4,175.16666666666666,215.9659999999975,0.0,3.0,900.0
56,2,1178.8899462355469,177.46404029172754,32.668999999996146,2.5,5.766666666666667,141.70000000000002,193.76599999999624,0.0,2.5,750.0
57,2,1274.0327512527422,171.85908563924275,44.47299999999546,2.0,5.733333333333333,180.5,178.51899999999574,0.0,3.5,984.5
58,2,1216.0125242212064,183.2597010922142,46.691666666662485,2.0,6.133333333333333,186.66666666666666,188.40899999999766,0.0,4.0,933.0
59,2,1163.919977442681,198.98496822468235,35.055666666662276,1.5,6.2,152.2,231.4319999999983,0.0,3.0,900.0
60,2,1176.3450971564891,197.0271062025896,40.78633333332894,1.5,6.300000000000001,167.96666666666667,219.430999999998,0.0,3.0,900.0
61,2,1073.3604473518558,198.5831147414482,33.12666666666263,2.5,6.6,147.33333333333334,203.86299999999815,0.0,3.0,900.0
