Generation,Stage,Prey_Fitness,Predator_Fitness,Avg_Prey_Energy,Prey_Starved,Prey_Eaten,Avg_Food_Collected,Avg_Predator_Energy,Pred_Starved
1,1,1837.8132259760655,33.333333333333336,40.10533333333078,9.5,0.0,250.43333333333334,100.0,0.0
2,1,1833.6659814851344,33.333333333333336,28.750333333330634,9.0,0.0,217.5,100.0,0.0
3,1,1964.2135317953332,33.333333333333336,49.234666666664126,8.5,0.0,303.6666666666667,100.0,0.0
4,1,2101.4540709752246,33.333333333333336,62.26033333333007,5.5,0.0,312.26666666666665,100.0,0.0
5,1,1851.6228662717504,33.333333333333336,38.98899999999627,7.0,0.0,152.93333333333334,100.0,0.0
6,1,2040.7888975775597,33.333333333333336,57.62133333333033,5.5,0.0,231.63333333333333,100.0,0.0
7,1,2160.214581199834,33.333333333333336,68.0516666666625,3.5,0.0,256.16666666666663,100.0,0.0
8,1,2254.419891582639,33.333333333333336,71.99566666666331,3.0,0.0,330.3666666666667,100.0,0.0
9,1,1969.1749403170218,33.333333333333336,42.597333333329956,6.5,0.0,213.83333333333334,100.0,0.0
10,1,2210.8639147513563,33.333333333333336,66.18899999999643,4.0,0.0,332.8,100.0,0.0
11,1,1840.77864999708,33.333333333333336,37.6053333333307,9.0,0.0,210.0333333333333,100.0,0.0
12,1,2053.3157095431325,33.333333333333336,51.39499999999651,5.5,0.0,265.6333333333333,100.0,0.0
13,1,2080.289722936898,33.333333333333336,58.095666666663504,6.0,0.0,289.06666666666666,100.0,0.0
14,1,2155.885980523288,33.333333333333336,75.74333333333024,4.5,0.0,306.8,100.0,0.0
15,1,2153.2269695673417,33.333333333333336,65.47999999999605,3.5,0.0,263.7,100.0,0.0
16,1,2238.6612688488362,33.333333333333336,72.19733333332923,3.0,0.0,324.23333333333335,100.0,0.0
17,1,2241.764856508399,33.333333333333336,77.41233333332868,3.0,0.0,310.3666666666667,100.0,0.0
18,1,2345.819725370338,33.333333333333336,84.36999999999635,2.0,0.0,377.6333333333333,100.0,0.0
19,1,2114.908616991254,33.333333333333336,62.33333333332972,4.5,0.0,246.23333333333335,100.0,0.0
20,1,2144.1323528262055,33.333333333333336,69.14166666666314,5.0,0.0,304.06666666666666,100.0,0.0
21,2,1370.5973590387484,176.28562843981533,60.99799999999536,2.0,5.733333333333333,261.4,196.5269999999964,0.0
22,2,1371.8348998318456,134.20382298485103,53.94466666666294,5.5,4.466666666666667,242.66666666666669,144.18699999999558,0.0
23,2,1302.6481029382974,123.4902563251548,40.20933333333031,6.5,4.0,161.9,154.51199999999545,0.5
24,2,1290.3343141320847,163.68365296730252,46.106666666663216,4.0,5.066666666666666,193.0,200.46899999999522,0.0
25,2,1432.3089510081684,141.3662864286558,62.863666666663015,5.0,4.6,291.70000000000005,161.55599999999464,0.0
26,2,1177.0431848839096,183.24413375636004,38.719666666662825,4.0,5.7333333333333325,169.16666666666666,218.709999999997,0.0
27,2,1225.176144756509,156.23881764159913,36.75033333333034,6.0,4.966666666666667,168.4,195.51299999999708,0.5
28,2,1338.3961935641075,118.51954429729716,29.960999999996766,5.5,3.833333333333333,143.83333333333334,149.91199999999364,0.5
29,2,1234.3879534284813,129.86215323592793,26.18699999999668,6.5,4.1,126.1,156.60699999999474,0.0
30,2,1268.1771435153155,142.53135768762914,39.44333333332982,6.0,4.533333333333333,168.43333333333334,170.7439999999957,0.0
31,2,1197.4873242211681,145.6465508497836,28.078999999996576,6.0,4.6,123.93333333333334,175.6349999999959,0.0
32,2,1252.5574328308837,134.28665543916546,29.956666666663224,5.5,4.466666666666667,135.0,149.124999999995,0.0
33,2,1140.5886825732782,171.08083418249984,39.96399999999623,6.0,5.366666666666666,162.53333333333333,204.29999999999546,0.0
