Generation,Stage,Prey_Fitness,Predator_Fitness,Avg_Prey_Energy,Prey_Starved,Prey_Eaten,Avg_Food_Collected,Avg_Predator_Energy,Pred_Starved
1,1,1974.369565419936,33.333333333333336,43.575333333331244,9.5,0.0,392.73333333333335,100.0,0.0
2,1,1819.503569509361,33.333333333333336,31.75033333333117,10.5,0.0,274.29999999999995,100.0,0.0
3,1,1946.8616988381623,33.333333333333336,52.07533333333129,9.0,0.0,311.26666666666665,100.0,0.0
4,1,1973.233223984199,33.333333333333336,43.983333333331146,9.0,0.0,343.93333333333334,100.0,0.0
5,1,2015.011202306795,33.333333333333336,49.95699999999742,8.0,0.0,297.3666666666667,100.0,0.0
6,1,2127.3045705763475,33.333333333333336,64.64966666666328,6.0,0.0,331.1333333333333,100.0,0.0
7,1,2136.5746235309475,33.333333333333336,63.85166666666355,6.5,0.0,367.6,100.0,0.0
8,1,2297.263271818672,33.333333333333336,68.17499999999674,4.0,0.0,399.23333333333335,100.0,0.0
9,1,2133.0416978697913,33.333333333333336,63.63299999999738,5.5,0.0,320.23333333333335,100.0,0.0
10,1,2298.4144290162394,33.333333333333336,87.22999999999664,3.0,0.0,361.1333333333333,100.0,0.0
11,1,2228.943860139974,33.333333333333336,68.66099999999605,3.0,0.0,308.73333333333335,100.0,0.0
12,1,2266.8270709241074,33.333333333333336,74.7753333333299,3.0,0.0,329.43333333333334,100.0,0.0
13,1,2267.8654375665287,33.333333333333336,74.12166666666397,3.0,0.0,334.6,100.0,0.0
14,1,2180.7623051661326,33.333333333333336,61.033666666663,3.5,0.0,282.3333333333333,100.0,0.0
15,1,2399.24734156837,33.333333333333336,90.11499999999691,2.5,0.0,435.5,100.0,0.0
16,1,2392.171911578157,33.333333333333336,81.46133333333023,3.0,0.0,448.0,100.0,0.0
17,1,2238.5686005960965,33.333333333333336,71.85133333332962,3.0,0.0,303.9666666666667,100.0,0.0
18,1,2369.803242243257,33.333333333333336,76.62966666666327,3.5,0.0,461.5333333333333,100.0,0.0
19,1,2241.4697252196097,33.333333333333336,65.92033333333005,3.5,0.0,317.26666666666665,100.0,0.0
20,1,2282.5543719217862,33.333333333333336,76.84999999999565,3.0,0.0,347.93333333333334,100.0,0.0
21,2,1087.7493795195373,237.25767991006407,72.87499999999466,0.5,8.066666666666666,263.66666666666663,235.34199999999865,0.0
22,2,1199.8483891891315,246.15280809866695,97.94399999999534,0.0,8.466666666666667,398.1666666666667,234.854999999999,0.0
23,2,1525.045732200552,184.55208202212282,98.23399999999681,1.0,6.033333333333333,397.56666666666666,197.1569999999968,0.0
24,2,1098.273422125801,236.80028149249816,69.56266666666157,0.5,7.933333333333334,255.60000000000002,240.39099999999885,0.0
25,2,1352.577921456376,204.09001460033954,72.01766666666163,0.0,6.466666666666667,269.06666666666666,232.6029999999983,0.0
26,2,1170.3264782243011,220.11977194994358,64.03233333332838,1.0,7.266666666666667,250.6,234.1249999999987,0.0
27,2,1216.0439813156886,226.68100490261793,85.67233333332811,0.0,7.7333333333333325,313.1333333333333,225.44699999999807,0.0
28,2,1544.0099018230621,164.1301096712572,76.99166666666189,1.5,4.966666666666667,284.4,205.06599999999614,0.0
29,2,1510.9428437435936,165.5502493874131,82.54733333332882,2.0,5.266666666666667,316.6666666666667,186.14599999999598,0.0
30,2,1161.931004914352,243.61868415549662,87.252333333329,0.5,8.2,336.5333333333333,242.56299999999914,0.0
31,2,1485.5112673916403,164.67856832996097,64.340666666662,1.5,5.233333333333333,277.43333333333334,186.22899999999578,0.0
32,2,1344.2797110395384,194.12059735856877,72.16966666666205,1.0,6.266666666666667,264.9666666666667,210.10899999999722,0.0
33,2,1264.4428220508594,194.1210889406462,59.36533333332871,2.0,6.2333333333333325,227.16666666666669,212.87899999999706,0.0
34,2,1549.3653217125038,180.61711026423592,80.83233333332888,1.0,5.466666666666667,330.06666666666666,220.5349999999978,0.0
35,2,1292.4100865390822,203.64761715168567,65.88099999999518,1.5,6.466666666666667,257.93333333333334,227.08699999999806,0.0
36,2,1619.1149545851663,157.570149125212,78.06766666666215,1.0,4.733333333333333,314.9666666666667,192.82999999999484,0.0
37,2,1798.5788109216705,136.79232807035368,85.34399999999658,1.0,4.333333333333334,422.4,154.90399999999445,0.0
38,2,1509.701480012008,180.89118762781845,73.77866666666226,1.0,5.466666666666667,315.6,218.68999999999775,0.0
39,2,1498.0329383261605,189.27579534788643,86.7349999999964,1.0,6.033333333333333,381.8666666666667,210.4119999999977,0.0
40,2,1270.9928056967176,196.31503901703886,58.940999999995924,2.5,6.2,237.56666666666666,221.86799999999647,0.0
41,2,1356.829963914297,217.4962941957297,91.44333333332925,0.5,7.0,365.66666666666663,236.90099999999825,0.0
42,2,1563.5753342591909,175.69623697222931,80.37333333332921,1.0,5.533333333333333,371.3666666666667,200.30199999999644,0.0
43,2,1220.2888506718048,207.13670528951022,63.12666666666203,2.0,6.699999999999999,255.43333333333334,223.609999999997,0.0
44,2,1553.3957195349371,149.50600274525226,70.55099999999561,1.5,4.7,262.4,171.6259999999961,0.0
45,2,1525.8904217162167,141.95223321211571,59.84966666666227,2.0,4.466666666666667,240.60000000000002,162.05899999999502,0.0
46,2,1524.399697060493,174.60124355916963,72.86099999999583,1.5,5.333333333333333,313.5,209.26099999999695,0.0
47,2,1373.3135433313475,189.44739764262496,62.55499999999569,1.0,6.0,264.0333333333333,213.60299999999694,0.0
48,2,1492.6545950549146,173.01532125929717,77.1996666666627,2.0,5.266666666666667,302.8666666666667,206.5919999999967,0.0
49,2,1475.054619037081,156.69928511156033,73.45766666666258,3.5,4.866666666666667,295.1,181.50599999999517,0.0
50,2,1162.7343331286643,213.3719871376772,65.74966666666228,2.5,6.9,257.6666666666667,228.79399999999896,0.0
51,2,1274.9043921306109,176.39336428722146,50.42599999999566,3.5,5.366666666666667,193.1,209.7419999999951,0.0
52,2,1497.3025547210793,179.42840356301022,78.03399999999566,2.0,5.6,359.20000000000005,204.97599999999588,0.0
53,2,1207.0393372559759,197.75342938164349,60.351333333328796,3.0,6.300000000000001,234.76666666666668,218.08499999999748,0.0
54,2,1443.4725625155854,175.22166323568865,69.66766666666281,2.0,5.333333333333334,281.56666666666666,209.03999999999712,0.0
55,2,1378.0235014834054,137.67618919627597,38.059333333329505,4.5,4.2,174.9,164.098999999995,0.0
56,2,1399.3682748949734,171.80740128402527,66.05233333332988,3.0,5.266666666666667,267.7,202.68899999999678,0.0
57,2,1413.2695207323538,140.9255752938863,46.91699999999638,4.0,4.266666666666667,192.06666666666666,169.61799999999502,0.0
58,2,1557.0836452897538,139.22980426755097,66.03366666666281,3.0,4.300000000000001,293.1,163.5989999999947,0.0
59,2,1307.5375686710224,189.00613593184528,50.57699999999571,2.5,5.8,235.33333333333331,224.04899999999714,0.0
60,2,1426.7922451906625,170.051164219148,63.510999999995676,2.0,5.333333333333334,261.26666666666665,194.05999999999602,0.0
61,2,1136.6927004942665,187.69999251693196,54.93866666666296,6.0,6.1,236.5,206.7059999999975,0.0
62,2,1586.0634296681178,170.07568000699328,81.5183333333301,2.0,5.199999999999999,405.0333333333333,208.89399999999583,0.0
63,2,1399.309264674061,166.2535605067507,62.18233333332978,3.5,5.166666666666666,284.8,198.49599999999555,0.0
64,2,1331.658515950474,158.58150301965117,59.169999999996776,5.0,5.033333333333333,254.56666666666666,193.11299999999721,0.5
65,2,1541.7879043902026,150.33374661884898,62.27966666666234,2.0,4.666666666666667,289.23333333333335,179.91399999999507,0.0
66,2,1280.045626608635,166.16430040201516,48.00633333332995,4.5,5.366666666666667,254.76666666666665,185.98699999999639,0.0
67,2,1305.8050259465767,169.5419995215728,60.431333333329455,4.0,5.366666666666667,262.1,192.3779999999966,0.0
68,2,1336.8454953572045,186.2964717696993,65.99366666666347,2.5,5.766666666666667,286.66666666666663,219.1159999999963,0.0
69,2,1161.0601599851475,172.60019849439107,42.2726666666627,5.0,5.533333333333333,182.66666666666669,191.49799999999613,0.0
70,2,1302.3718096828795,192.0874597385764,77.99666666666403,3.0,6.433333333333334,366.1333333333333,195.52699999999777,0.0
71,2,1335.6549897871398,181.83813788339896,66.90566666666385,3.5,5.8,321.4,203.26099999999695,0.0
72,2,1387.0030418702686,184.63572817287897,68.18499999999676,3.5,5.699999999999999,335.8666666666667,217.4429999999969,0.0
73,2,1415.9282923114947,151.45466542597796,70.78066666666325,4.0,4.933333333333334,291.5333333333333,174.3769999999962,0.5
74,2,1323.6763777990345,199.36100176464737,64.65233333332978,1.5,6.166666666666667,276.43333333333334,234.159999999997,0.0
75,2,1552.1965961299347,148.2857330657812,67.22199999999717,3.0,4.433333333333334,298.3,184.94599999999386,0.0
76,2,1409.930560494748,172.490801607585,65.50099999999635,2.0,5.366666666666667,259.8666666666667,202.0389999999968,0.0
77,2,1420.387678415738,146.80181667036987,63.16366666666352,5.0,4.533333333333333,265.43333333333334,173.7949999999948,0.0
78,2,1354.6313383132203,176.66288134134828,55.70233333332938,2.5,5.433333333333334,239.6,209.834999999996,0.0
79,2,1378.8450178445657,180.79868166365412,61.63933333332947,3.0,5.533333333333333,287.4666666666667,215.7489999999969,0.0
